Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Wed Jan  3 16:55:34 2024
| Host         : sophitia running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+-----------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                      |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|         inst                                                                |                                 design_1_xbar_0_axi_crossbar_v2_1_18_axi_crossbar |         Static |            - |        106 |        106 |       0 |    0 |  114 |      0 |      0 |            0 |
|           gen_sasd.crossbar_sasd_0                                          |                                design_1_xbar_0_axi_crossbar_v2_1_18_crossbar_sasd |         Static |            - |        106 |        106 |       0 |    0 |  114 |      0 |      0 |            0 |
|             (gen_sasd.crossbar_sasd_0)                                      |                                design_1_xbar_0_axi_crossbar_v2_1_18_crossbar_sasd |         Static |            - |          2 |          2 |       0 |    0 |    6 |      0 |      0 |            0 |
|             addr_arbiter_inst                                               |                            design_1_xbar_0_axi_crossbar_v2_1_18_addr_arbiter_sasd |         Static |            - |         53 |         53 |       0 |    0 |   25 |      0 |      0 |            0 |
|             gen_decerr.decerr_slave_inst                                    |                                 design_1_xbar_0_axi_crossbar_v2_1_18_decerr_slave |         Static |            - |          7 |          7 |       0 |    0 |    4 |      0 |      0 |            0 |
|             reg_slice_r                                                     |                    design_1_xbar_0_axi_register_slice_v2_1_17_axic_register_slice |         Static |            - |         37 |         37 |       0 |    0 |   74 |      0 |      0 |            0 |
|             splitter_ar                                                     |                     design_1_xbar_0_axi_crossbar_v2_1_18_splitter__parameterized0 |         Static |            - |          0 |          0 |       0 |    0 |    2 |      0 |      0 |            0 |
|             splitter_aw                                                     |                                     design_1_xbar_0_axi_crossbar_v2_1_18_splitter |         Static |            - |          7 |          7 |       0 |    0 |    3 |      0 |      0 |            0 |
|     rst_ps7_0_50M                                                           |                                                          design_1_rst_ps7_0_50M_0 |         Static |            - |         18 |         17 |       0 |    1 |   37 |      0 |      0 |            0 |
|       U0                                                                    |                                           design_1_rst_ps7_0_50M_0_proc_sys_reset |         Static |            - |         18 |         17 |       0 |    1 |   37 |      0 |      0 |            0 |
|         (U0)                                                                |                                           design_1_rst_ps7_0_50M_0_proc_sys_reset |         Static |            - |          0 |          0 |       0 |    0 |    2 |      0 |      0 |            0 |
|         EXT_LPF                                                             |                                                      design_1_rst_ps7_0_50M_0_lpf |         Static |            - |          5 |          4 |       0 |    1 |   17 |      0 |      0 |            0 |
|           (EXT_LPF)                                                         |                                                      design_1_rst_ps7_0_50M_0_lpf |         Static |            - |          2 |          1 |       0 |    1 |    9 |      0 |      0 |            0 |
|           ACTIVE_LOW_AUX.ACT_LO_AUX                                         |                                                 design_1_rst_ps7_0_50M_0_cdc_sync |         Static |            - |          1 |          1 |       0 |    0 |    4 |      0 |      0 |            0 |
|           ACTIVE_LOW_EXT.ACT_LO_EXT                                         |                                               design_1_rst_ps7_0_50M_0_cdc_sync_0 |         Static |            - |          2 |          2 |       0 |    0 |    4 |      0 |      0 |            0 |
|         SEQ                                                                 |                                             design_1_rst_ps7_0_50M_0_sequence_psr |         Static |            - |         13 |         13 |       0 |    0 |   18 |      0 |      0 |            0 |
|           (SEQ)                                                             |                                             design_1_rst_ps7_0_50M_0_sequence_psr |         Static |            - |          8 |          8 |       0 |    0 |   12 |      0 |      0 |            0 |
|           SEQ_COUNTER                                                       |                                                  design_1_rst_ps7_0_50M_0_upcnt_n |         Static |            - |          5 |          5 |       0 |    0 |    6 |      0 |      0 |            0 |
+-----------------------------------------------------------------------------+-----------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
* Note: The sum of lower-level cells may be larger than their parent cells total, due to cross-hierarchy LUT combining


report_utilization: Time (s): cpu = 00:00:01 ; elapsed = 00:00:00.378 . Memory (MB): peak = 2721.473 ; gain = 0.000
