Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Thu Feb 29 13:08:13 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|           xs[5].ys[5].instnce.nbyn_instance                                 |                                                            switch__parameterized44 | Reconfigurable |            - |         40 |         40 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[5].ys[6].instnce.nbyn_instance                                 |                                                            switch__parameterized45 | Reconfigurable |            - |         77 |         77 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[5].ys[7].instnce.nbyn_instance                                 |                                                            switch__parameterized46 | Reconfigurable |            - |         16 |         16 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[0].instnce.nbyn_instance                                 |                                                            switch__parameterized47 | Reconfigurable |            - |         37 |         37 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[1].instnce.nbyn_instance                                 |                                                            switch__parameterized48 | Reconfigurable |            - |        148 |        148 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[2].instnce.nbyn_instance                                 |                                                            switch__parameterized49 | Reconfigurable |            - |        156 |        156 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[3].instnce.nbyn_instance                                 |                                                            switch__parameterized50 | Reconfigurable |            - |          0 |          0 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[4].instnce.nbyn_instance                                 |                                                            switch__parameterized51 | Reconfigurable |            - |         76 |         76 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[5].instnce.nbyn_instance                                 |                                                            switch__parameterized52 | Reconfigurable |            - |        116 |        116 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[6].instnce.nbyn_instance                                 |                                                            switch__parameterized53 | Reconfigurable |            - |        106 |        106 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[6].ys[7].instnce.nbyn_instance                                 |                                                            switch__parameterized54 | Reconfigurable |            - |          9 |          9 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[0].instnce.nbyn_instance                                 |                                                            switch__parameterized55 | Reconfigurable |            - |         87 |         87 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[1].instnce.nbyn_instance                                 |                                                            switch__parameterized56 | Reconfigurable |            - |         77 |         77 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[2].instnce.nbyn_instance                                 |                                                            switch__parameterized57 | Reconfigurable |            - |          0 |          0 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[3].instnce.nbyn_instance                                 |                                                            switch__parameterized58 | Reconfigurable |            - |        113 |        113 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[4].instnce.nbyn_instance                                 |                                                            switch__parameterized59 | Reconfigurable |            - |         78 |         78 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[5].instnce.nbyn_instance                                 |                                                            switch__parameterized60 | Reconfigurable |            - |        184 |        184 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[6].instnce.nbyn_instance                                 |                                                            switch__parameterized61 | Reconfigurable |            - |         69 |         69 |       0 |    0 |   66 |      0 |      0 |            0 |
|           xs[7].ys[7].instnce.nbyn_instance                                 |                                                            switch__parameterized62 | Reconfigurable |            - |        116 |        116 |       0 |    0 |   66 |      0 |      0 |            0 |
|     CUSTOM_IP_PASS                                                          |                                                              design_1_axi_gpio_1_1 |         Static |            - |        113 |        113 |       0 |    0 |  325 |      0 |      0 |            0 |
|       U0                                                                    |                                                     design_1_axi_gpio_1_1_axi_gpio |         Static |            - |        113 |        113 |       0 |    0 |  325 |      0 |      0 |            0 |
|         (U0)                                                                |                                                     design_1_axi_gpio_1_1_axi_gpio |         Static |            - |          0 |          0 |       0 |    0 |   34 |      0 |      0 |            0 |
|         AXI_LITE_IPIF_I                                                     |                                                design_1_axi_gpio_1_1_axi_lite_ipif |         Static |            - |        110 |        110 |       0 |    0 |   58 |      0 |      0 |            0 |
|           I_SLAVE_ATTACHMENT                                                |                                             design_1_axi_gpio_1_1_slave_attachment |         Static |            - |        110 |        110 |       0 |    0 |   58 |      0 |      0 |            0 |
|             (I_SLAVE_ATTACHMENT)                                            |                                             design_1_axi_gpio_1_1_slave_attachment |         Static |            - |         50 |         50 |       0 |    0 |   52 |      0 |      0 |            0 |
|             I_DECODER                                                       |                                              design_1_axi_gpio_1_1_address_decoder |         Static |            - |         60 |         60 |       0 |    0 |    6 |      0 |      0 |            0 |
|         gpio_core_1                                                         |                                                    design_1_axi_gpio_1_1_GPIO_Core |         Static |            - |          3 |          3 |       0 |    0 |  233 |      0 |      0 |            0 |
|           (gpio_core_1)                                                     |                                                    design_1_axi_gpio_1_1_GPIO_Core |         Static |            - |          3 |          3 |       0 |    0 |  101 |      0 |      0 |            0 |
