Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.2 (win64) Build 2258646 Thu Jun 14 20:03:12 MDT 2018
| Date         : Sun Mar 10 16:44:45 2024
| Host         : DESKTOP-9JQALQI running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical
| Design       : design_1_wrapper
| Device       : 7z020clg484-1
| Design State : Routed
------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------+------------------------------------------------------------------------------------+----------------+--------------+------------+------------+---------+------+------+--------+--------+--------------+
|                                   Instance                                  |                                       Module                                       |  PR Attribute  | Total PPLOCs | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs | RAMB36 | RAMB18 | DSP48 Blocks |
|                       rpntr                                                 |                                                       fifo_generator_2_rd_bin_cntr | Reconfigurable |            - |         14 |         14 |       0 |    0 |   14 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.wr                                |                                                          fifo_generator_2_wr_logic | Reconfigurable |            - |         11 |         11 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       gwss.wsts                                             |                                                fifo_generator_2_wr_status_flags_ss | Reconfigurable |            - |          5 |          5 |       0 |    0 |    2 |      0 |      0 |            0 |
|                       wpntr                                                 |                                                       fifo_generator_2_wr_bin_cntr | Reconfigurable |            - |          6 |          6 |       0 |    0 |   14 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.mem                                   |                                                            fifo_generator_2_memory | Reconfigurable |            - |        104 |         16 |      88 |    0 |   32 |      0 |      0 |            0 |
|                       gdm.dm_gen.dm                                         |                                                              fifo_generator_2_dmem | Reconfigurable |            - |        104 |         16 |      88 |    0 |   32 |      0 |      0 |            0 |
|           OFIFO                                                             |                                                                   fifo_generator_3 | Reconfigurable |            - |        466 |        114 |     352 |    0 |   79 |      0 |      0 |            0 |
|             U0                                                              |                                            fifo_generator_3_fifo_generator_v13_2_2 | Reconfigurable |            - |        466 |        114 |     352 |    0 |   79 |      0 |      0 |            0 |
|               inst_fifo_gen                                                 |                                      fifo_generator_3_fifo_generator_v13_2_2_synth | Reconfigurable |            - |        466 |        114 |     352 |    0 |   79 |      0 |      0 |            0 |
|                 gconvfifo.rf                                                |                                                fifo_generator_3_fifo_generator_top | Reconfigurable |            - |        466 |        114 |     352 |    0 |   79 |      0 |      0 |            0 |
|                   grf.rf                                                    |                                            fifo_generator_3_fifo_generator_ramfifo | Reconfigurable |            - |        466 |        114 |     352 |    0 |   79 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.rd                                |                                                          fifo_generator_3_rd_logic | Reconfigurable |            - |         25 |         25 |       0 |    0 |   26 |      0 |      0 |            0 |
|                       grss.rsts                                             |                                                fifo_generator_3_rd_status_flags_ss | Reconfigurable |            - |          2 |          2 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         (grss.rsts)                                         |                                                fifo_generator_3_rd_status_flags_ss | Reconfigurable |            - |          1 |          1 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         c1                                                  |                                                         fifo_generator_3_compare_1 | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|                         c2                                                  |                                                         fifo_generator_3_compare_2 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|                       rpntr                                                 |                                                       fifo_generator_3_rd_bin_cntr | Reconfigurable |            - |         23 |         23 |       0 |    0 |   24 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.gl0.wr                                |                                                          fifo_generator_3_wr_logic | Reconfigurable |            - |         23 |         23 |       0 |    0 |   20 |      0 |      0 |            0 |
|                       gwss.wsts                                             |                                                fifo_generator_3_wr_status_flags_ss | Reconfigurable |            - |          4 |          4 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         (gwss.wsts)                                         |                                                fifo_generator_3_wr_status_flags_ss | Reconfigurable |            - |          3 |          3 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         c0                                                  |                                                           fifo_generator_3_compare | Reconfigurable |            - |          0 |          0 |       0 |    0 |    0 |      0 |      0 |            0 |
|                         c1                                                  |                                                         fifo_generator_3_compare_0 | Reconfigurable |            - |          1 |          1 |       0 |    0 |    0 |      0 |      0 |            0 |
|                       wpntr                                                 |                                                       fifo_generator_3_wr_bin_cntr | Reconfigurable |            - |         19 |         19 |       0 |    0 |   18 |      0 |      0 |            0 |
|                     gntv_or_sync_fifo.mem                                   |                                                            fifo_generator_3_memory | Reconfigurable |            - |        418 |         66 |     352 |    0 |   33 |      0 |      0 |            0 |
|                       gdm.dm_gen.dm                                         |                                                              fifo_generator_3_dmem | Reconfigurable |            - |        418 |         66 |     352 |    0 |   33 |      0 |      0 |            0 |
|           decode                                                            |                                                                      decode_Server | Reconfigurable |            - |        245 |        245 |       0 |    0 |   99 |      0 |      0 |            0 |
|           encode                                                            |                                                                      encode_Server | Reconfigurable |            - |         69 |         69 |       0 |    0 |   49 |      0 |      0 |            0 |
|           hash                                                              |                                                                   hash_core_Server | Reconfigurable |            - |       3957 |       3577 |     380 |    0 | 1979 |      0 |      0 |            0 |
|             (hash)                                                          |                                                                   hash_core_Server | Reconfigurable |            - |        398 |        398 |       0 |    0 |   40 |      0 |      0 |            0 |
|             decode                                                          |                                                                      decode_keccak | Reconfigurable |            - |         92 |         92 |       0 |    0 |   88 |      0 |      0 |            0 |
|             fifo0                                                           |                                                                   fifo_generator_0 | Reconfigurable |            - |        264 |         72 |     192 |    0 |   72 |      0 |      0 |            0 |
|               U0                                                            |                                            fifo_generator_0_fifo_generator_v13_2_2 | Reconfigurable |            - |        264 |         72 |     192 |    0 |   72 |      0 |      0 |            0 |
|                 inst_fifo_gen                                               |                                      fifo_generator_0_fifo_generator_v13_2_2_synth | Reconfigurable |            - |        264 |         72 |     192 |    0 |   72 |      0 |      0 |            0 |
|                   gconvfifo.rf                                              |                                                fifo_generator_0_fifo_generator_top | Reconfigurable |            - |        264 |         72 |     192 |    0 |   72 |      0 |      0 |            0 |
|                     grf.rf                                                  |                                            fifo_generator_0_fifo_generator_ramfifo | Reconfigurable |            - |        264 |         72 |     192 |    0 |   72 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.rd                              |                                                          fifo_generator_0_rd_logic | Reconfigurable |            - |         22 |         22 |       0 |    0 |   18 |      0 |      0 |            0 |
|                         grss.rsts                                           |                                                fifo_generator_0_rd_status_flags_ss | Reconfigurable |            - |          2 |          2 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         rpntr                                               |                                                       fifo_generator_0_rd_bin_cntr | Reconfigurable |            - |         20 |         20 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.gl0.wr                              |                                                          fifo_generator_0_wr_logic | Reconfigurable |            - |         15 |         15 |       0 |    0 |   18 |      0 |      0 |            0 |
|                         gwss.wsts                                           |                                                fifo_generator_0_wr_status_flags_ss | Reconfigurable |            - |          4 |          4 |       0 |    0 |    2 |      0 |      0 |            0 |
|                         wpntr                                               |                                                       fifo_generator_0_wr_bin_cntr | Reconfigurable |            - |         11 |         11 |       0 |    0 |   16 |      0 |      0 |            0 |
|                       gntv_or_sync_fifo.mem                                 |                                                            fifo_generator_0_memory | Reconfigurable |            - |        228 |         36 |     192 |    0 |   36 |      0 |      0 |            0 |
|                         gdm.dm_gen.dm                                       |                                                              fifo_generator_0_dmem | Reconfigurable |            - |        228 |         36 |     192 |    0 |   36 |      0 |      0 |            0 |
|             fifo1                                                           |                                                                   fifo_generator_1 | Reconfigurable |            - |        188 |         60 |     128 |    0 |   60 |      0 |      0 |            0 |
